"cell_id","cell_area","cell_sum","cell_sum_se","week","season","cell_area_sum","cell_sum_sum","cell_sum_sum_se"
6,5659,76.4804368764162,1.32188786194878,2018-03-29,"prebreeding_migration",40471,1249.05941796675,5.21027766977156
7,5648,0.420941859483719,0.166522874496877,2018-03-29,"prebreeding_migration",40471,1249.05941796675,5.21027766977156
8,5587,0,0,2018-03-29,"prebreeding_migration",40471,1249.05941796675,5.21027766977156
1,1191,105.427633918822,0.722276649318172,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
2,5473,467.574792012572,3.72712749990257,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
3,5595,163.887916252017,1.46565103048003,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
4,5659,793.001413479447,3.47617598261672,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
5,5659,2277.98690022528,6.54498129974529,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
6,5659,261.674527972937,2.88232697672709,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
7,5648,1.50647541880608,0.228458719515493,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
8,5587,1.30756118893623,0.107248810254652,2018-04-05,"prebreeding_migration",40471,4072.36722046882,8.93607184799657
1,1191,204.497345209122,1.29337148566779,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
2,5473,1892.63338026404,9.57988585662723,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
3,5595,2003.53842362761,4.27766624180826,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
4,5659,3046.0340809226,5.35685407031115,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
5,5659,3417.31886050105,6.96070803218399,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
6,5659,505.141846179962,3.33244226178292,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
7,5648,5.99214828759432,0.518284224980825,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
8,5587,2.40423442423344,0.184656948207414,2018-04-12,"prebreeding_migration",40471,11077.5603194162,14.1527623203625
1,1191,446.833649113774,1.99640992264818,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
2,5473,3942.36345653236,11.1725824799132,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
3,5595,4504.92854127288,6.53552023250238,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
4,5659,5446.32073456049,7.78138010677146,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
5,5659,4410.65588957071,6.79720226030913,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
6,5659,1122.27559915185,3.47789867946415,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
7,5648,71.8635015636683,0.909229951932855,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
8,5587,22.8621843755245,0.425987900174384,2018-04-19,"prebreeding_migration",40471,19968.1035561413,17.0698873901961
1,1191,712.509034082294,2.7921478518496,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
2,5473,6380.33835929632,13.5836796511249,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
3,5595,7942.93248012662,9.53481029450425,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
4,5659,9439.16468787193,11.4790417012111,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
5,5659,6580.08682781458,8.80337543382899,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
6,5659,3815.54026553035,5.49469293364073,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
7,5648,858.678480491042,2.85623900699097,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
8,5587,444.534702032804,1.7810364785504,2018-04-26,"prebreeding_migration",40471,36173.7848372459,23.1087582939506
1,1191,1264.44834309816,3.54605557577408,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
2,5473,9777.14709934592,14.0195852241852,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
3,5595,11917.1464567184,11.7147412594895,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
4,5659,13045.5829408169,14.8891649028028,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
5,5659,7641.72007608414,9.86774496934211,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
6,5659,6027.576387465,6.69200821280902,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
7,5648,4530.43034896255,5.94679144345897,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
8,5587,4406.87684181333,7.11700421366917,2018-05-03,"prebreeding_migration",40471,58610.9284943044,28.2173194409741
1,1191,1516.8093315959,3.74022205085879,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
2,5473,11411.4094980359,14.7038610186367,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
3,5595,14349.0407955647,13.081773174498,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
4,5659,15122.551027,16.2200452252532,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
5,5659,8727.53166079521,10.6892055662229,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
6,5659,7600.44649004936,7.84265003946022,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
7,5648,6786.13457238674,9.35642495614467,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
8,5587,7714.22672325373,10.615465550807,2018-05-10,"prebreeding_migration",40471,73228.1500986814,32.2554261860255
1,1191,1665.62666344643,3.90395330107543,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
2,5473,12480.8635416627,13.3856426098226,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
3,5595,15956.0111472011,14.11952217331,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
4,5659,15334.0005788803,16.6039183412443,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
5,5659,7790.38078343868,9.82255436204889,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
6,5659,7798.47245121002,9.05406147365895,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
7,5648,7744.44392353296,10.1723520017683,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
8,5587,7453.65190505981,9.91084214074676,2018-05-17,"prebreeding_migration",40471,76223.450994432,32.3979541127378
1,1191,1546.73300114274,4.62901531360002,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
2,5473,11782.9354684353,13.1449586690697,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
3,5595,15708.8312584162,14.1538900295951,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
4,5659,14103.0946567655,15.1935867488535,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
5,5659,6673.45830067992,8.7367266116232,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
6,5659,7595.28522199392,9.29131488267337,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
7,5648,7524.45654541254,10.7337876816332,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
8,5587,6250.06381157041,9.39958596611355,2018-05-24,"prebreeding_migration",40471,71184.8582644165,31.4900101764651
1,1191,903.359046831727,3.59736130382188,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
2,5473,7776.19444957376,13.5798911392075,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
3,5595,10976.1828260422,11.2962724744262,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
4,5659,9693.08149659634,11.0122788029748,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
5,5659,5468.73202329874,7.65806515509141,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
6,5659,6631.01247173548,9.74426906872611,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
7,5648,6637.84354293346,10.3078048831212,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
8,5587,4999.3715852499,7.72450000130896,2018-05-31,"prebreeding_migration",40471,53085.7774422616,27.6721157726684
1,1191,614.360623240471,2.57505775693493,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
2,5473,5568.33120590448,11.1818752857151,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
3,5595,8482.20707261562,8.67019719772269,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
4,5659,8260.70372104645,9.05969805941817,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
5,5659,5122.03319707513,7.63191786177644,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
6,5659,5713.6033860445,9.53529015573975,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
7,5648,5849.08625942469,9.78921348464161,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
8,5587,4465.86865580082,7.36605858762597,2018-06-07,"prebreeding_migration",40471,44076.1941211522,24.252240187235
1,1191,500.993980437517,2.79819222618608,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
2,5473,4683.93477007747,13.30208002526,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
3,5595,6710.28878247738,7.2607820669361,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
4,5659,7129.6104542017,8.52434151633684,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
5,5659,5408.91435202956,8.49709443887438,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
6,5659,5093.82792431116,9.53648004804047,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
7,5648,4589.45005977154,8.25375085194216,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
8,5587,3798.03820887208,6.69652824801052,2018-06-14,"breeding",40471,37915.0585321784,24.2130445536276
1,1191,416.883657902479,2.27482588742836,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
2,5473,3504.32604329288,12.6512210744176,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
3,5595,5712.82738855481,6.26227185739703,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
4,5659,6331.5376458168,8.14266578835949,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
5,5659,6235.59628349543,9.65599198382126,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
6,5659,4538.13471195102,8.18925853852216,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
7,5648,3878.41840142012,7.31825793204466,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
8,5587,3479.27136871219,6.63206927702358,2018-06-21,"breeding",40471,34096.9955011457,22.9910996062894
1,1191,357.957970842719,2.0098095344987,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
2,5473,3105.74184064567,11.355488444609,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
3,5595,4619.55712100863,5.29673176060025,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
4,5659,6285.26176247001,8.35862780860728,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
5,5659,7653.98945695162,10.4485527908673,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
6,5659,5084.46705055237,7.86822906789462,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
7,5648,3847.54545012116,6.91719541611526,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
8,5587,3404.03166233003,6.4982135280722,2018-06-28,"breeding",40471,34358.5523149222,22.1825186562918
1,1191,333.573619753122,2.04021094259019,2018-07-06,"breeding",40471,31274.3505851179,21.5870356712934
2,5473,2911.43695853651,11.2643251683159,2018-07-06,"breeding",40471,31274.3505851179,21.5870356712934
3,5595,3843.26693591475,4.85816892257905,2018-07-06,"breeding",40471,31274.3505851179,21.5870356712934
